"","x"
"1","AU3CB0228286"
"2","BTSCO1612"
"3","BTSCO1703"
"4","CH0336352825"
"5","DE0001141745"
"6","DE000A12TZ95"
"7","DE000A14J587"
"8","DE000A161XW6"
"9","DE000A1X25N0"
"10","ECCU1803"
"11","FI4000047360"
"12","FR0011149947"
"13","FR0011149954"
"14","FR0011439900"
"15","FR0011801596"
"16","FR0011973577"
"17","FR0013081700"
"18","FR0013113073"
"19","FR0013183571"
"20","FR0013245263"
"21","FR0013257557"
"22","FR0013298890"
"23","HK0000086634"
"24","IE00B4PY7Y77"
"25","IE00B85RQ587"
"26","IE00BF4K8391"
"27","IE00BSZLQL65"
"28","LU0448623016"
"29","LU0972983513"
"30","LU1693257310"
"31","MX0SGO000015"
"32","NO0010646813"
"33","NO0010748742"
"34","OATCO1706"
"35","OECO1606"
"36","OECO1609"
"37","OECO1612"
"38","OECO1703"
"39","OECO1706"
"40","OECO1709"
"41","OECO1712"
"42","OECO1803"
"43","PECU1612"
"44","PECU1703"
"45","PTOTEMOE0027"
"46","RXCO1706"
"47","RXCO1709"
"48","RXCO1712"
"49","RXCO1803"
"50","TYCO1509"
"51","TYCO1512"
"52","TYCO1603"
"53","TYCO1606"
"54","TYCO1609"
"55","TYCO1612"
"56","TYCO1703"
"57","TYCO1706"
"58","TYCO1709"
"59","TYCO1712"
"60","TYCO1803"
"61","US00101JAF30"
"62","US00287YAP43"
"63","US01609WAQ50"
"64","US03512TAA97"
"65","US03938LAQ77"
"66","US03938LAY02"
"67","US052769AC08"
"68","US05463EAB48"
"69","US056752AD07"
"70","US05958AAJ79"
"71","US05971BAB53"
"72","US06675GAA31"
"73","US067901AQ17"
"74","US086516AL50"
"75","US105756BU30"
"76","US120568AX84"
"77","US124857AQ69"
"78","US165167CK12"
"79","US195325BD67"
"80","US195325BN40"
"81","US257867AZ49"
"82","US278642AK93"
"83","US279158AL39"
"84","US29082HAA05"
"85","US29358QAA76"
"86","US29358QAG47"
"87","US302154BM07"
"88","US33938EAQ08"
"89","US345397WU32"
"90","US35671DAU90"
"91","US35906AAX63"
"92","US35906AAZ12"
"93","US37045XBA37"
"94","US37045XBS45"
"95","US404121AC95"
"96","US46507NAE04"
"97","US532716AU19"
"98","US585055BG05"
"99","US595112BC66"
"100","US61746BDN38"
"101","US61747YBA29"
"102","US620076BF55"
"103","US651639AN69"
"104","US65504LAP22"
"105","US68557NAC74"
"106","US698299AX28"
"107","US71568QAA58"
"108","US71645WAR25"
"109","US71654QBK76"
"110","US71825PAD06"
"111","US803865AA25"
"112","US87264AAM71"
"113","US88947EAQ35"
"114","US89153VAH24"
"115","US893830AY53"
"116","US912796HU68"
"117","US912796HV42"
"118","US912796JA86"
"119","US912796JX89"
"120","US912796KR92"
"121","US912796KU22"
"122","US912796LC15"
"123","US912796LL14"
"124","US912796LM96"
"125","US912796LT40"
"126","US912796LW78"
"127","US912796MC06"
"128","US912796MD88"
"129","US912796NY17"
"130","US912828A594"
"131","US912828V491"
"132","US92343VBM54"
"133","US958102AL92"
"134","US988498AG64"
"135","USC98874AH09"
"136","USF75549AC34"
"137","USG1315RAD38"
"138","USG2444PAA50"
"139","USG30376AB69"
"140","USG3157SAA45"
"141","USG3777BAB92"
"142","USG3925DAB67"
"143","USG42045AB32"
"144","USG5825AAB82"
"145","USG6542TAE13"
"146","USG6710EAP54"
"147","USG6935LAB92"
"148","USG79456AK84"
"149","USG816AMAC61"
"150","USG9328DAH38"
"151","USG9328DAM23"
"152","USL5828LAB55"
"153","USL7877XAA74"
"154","USM8931TAF68"
"155","USN21177AA33"
"156","USN54468AD05"
"157","USP04808AC88"
"158","USP0607JAE84"
"159","USP09252AB63"
"160","USP1342SAC00"
"161","USP14623AB16"
"162","USP18445AG42"
"163","USP18533AK80"
"164","USP1905CAD22"
"165","USP2205JAH34"
"166","USP22854AF31"
"167","USP22854AG14"
"168","USP3083SAC90"
"169","USP3143NAW40"
"170","USP42009AA12"
"171","USP5015VAD84"
"172","USP5015VAF33"
"173","USP57908AD01"
"174","USP58072AG71"
"175","USP84050AA46"
"176","USP89708AA25"
"177","USP9037HAL70"
"178","USP9084BAD03"
"179","USP98047AA42"
"180","USU05485AA20"
"181","USU16450AT27"
"182","USU2339CAZ15"
"183","USU3155LAC10"
"184","USU3198DAT10"
"185","USU36328AB58"
"186","USU75888AC81"
"187","USU8810LAA18"
"188","USU9547KAB99"
"189","USY3815NAW12"
"190","USY3860XAC75"
"191","USY68868AA92"
"192","USY7138AAC46"
"193","XS0077157575"
"194","XS0335444724"
"195","XS0432619913"
"196","XS0459028626"
"197","XS0466300257"
"198","XS0470632646"
"199","XS0473928371"
"200","XS0496716282"
"201","XS0547082973"
"202","XS0552915943"
"203","XS0592238876"
"204","XS0647188605"
"205","XS0650262875"
"206","XS0681928114"
"207","XS0686701953"
"208","XS0739933421"
"209","XS0753190296"
"210","XS0755567301"
"211","XS0765257141"
"212","XS0783934085"
"213","XS0802953165"
"214","XS0808636244"
"215","XS0819566182"
"216","XS0828755495"
"217","XS0831918056"
"218","XS0834435702"
"219","XS0835676353"
"220","XS0836520717"
"221","XS0841358103"
"222","XS0843939918"
"223","XS0847441317"
"224","XS0848436365"
"225","XS0849020556"
"226","XS0856597314"
"227","XS0857433097"
"228","XS0864383723"
"229","XS0874840688"
"230","XS0875312364"
"231","XS0880258651"
"232","XS0882347072"
"233","XS0889401724"
"234","XS0893212398"
"235","XS0903465127"
"236","XS0906984272"
"237","XS0919504562"
"238","XS0921226386"
"239","XS0921332069"
"240","XS0923361827"
"241","XS0923436264"
"242","XS0927183441"
"243","XS0933097668"
"244","XS0933999863"
"245","XS0938043766"
"246","XS0938722070"
"247","XS0938722666"
"248","XS0940658361"
"249","XS0945673191"
"250","XS0953046991"
"251","XS0956406135"
"252","XS0957736480"
"253","XS0968729094"
"254","XS0969570687"
"255","XS0974154550"
"256","XS0982711714"
"257","XS0993155398"
"258","XS0993162170"
"259","XS0995845566"
"260","XS0997797054"
"261","XS0997979249"
"262","XS1019326302"
"263","XS1023684282"
"264","XS1025866119"
"265","XS1028948120"
"266","XS1028950886"
"267","XS1028952155"
"268","XS1028953989"
"269","XS1038613904"
"270","XS1040726587"
"271","XS1043621090"
"272","XS1044528849"
"273","XS1047674947"
"274","XS1048657800"
"275","XS1052677892"
"276","XS1054714248"
"277","XS1055940206"
"278","XS1056202762"
"279","XS1056560763"
"280","XS1057340009"
"281","XS1063399700"
"282","XS1063561143"
"283","XS1069899232"
"284","XS1075833860"
"285","XS1079233810"
"286","XS1079720212"
"287","XS1082399301"
"288","XS1082472587"
"289","XS1082775054"
"290","XS1082971588"
"291","XS1083956307"
"292","XS1083957024"
"293","XS1084836441"
"294","XS1087760648"
"295","XS1089413089"
"296","XS1089828450"
"297","XS1097970732"
"298","XS1107288596"
"299","XS1111256431"
"300","XS1115183359"
"301","XS1117297512"
"302","XS1128996425"
"303","XS1132375897"
"304","XS1132765840"
"305","XS1143085014"
"306","XS1150437579"
"307","XS1165980274"
"308","XS1167308128"
"309","XS1169920193"
"310","XS1172947902"
"311","XS1188073081"
"312","XS1195502031"
"313","XS1204116088"
"314","XS1204434028"
"315","XS1207317261"
"316","XS1211417362"
"317","XS1212668062"
"318","XS1219438592"
"319","XS1220057043"
"320","XS1222731215"
"321","XS1227287221"
"322","XS1227593933"
"323","XS1241053666"
"324","XS1242348164"
"325","XS1242956966"
"326","XS1244815111"
"327","XS1249966356"
"328","XS1253849357"
"329","XS1254575415"
"330","XS1262584532"
"331","XS1266662763"
"332","XS1278084147"
"333","XS1311099540"
"334","XS1319701451"
"335","XS1321149434"
"336","XS1327914062"
"337","XS1330978567"
"338","XS1350670839"
"339","XS1372846003"
"340","XS1384278203"
"341","XS1388625425"
"342","XS1391063424"
"343","XS1396892751"
"344","XS1398017332"
"345","XS1400351653"
"346","XS1400710999"
"347","XS1403611608"
"348","XS1405765907"
"349","XS1405768596"
"350","XS1405777316"
"351","XS1405778041"
"352","XS1405781342"
"353","XS1405888576"
"354","XS1406669983"
"355","XS1409506885"
"356","XS1410519976"
"357","XS1418627821"
"358","XS1428468885"
"359","XS1432493879"
"360","XS1439749281"
"361","XS1443221343"
"362","XS1457570023"
"363","XS1487495316"
"364","XS1492822033"
"365","XS1497312295"
"366","XS1498935391"
"367","XS1503160225"
"368","XS1508675334"
"369","XS1511779305"
"370","XS1511793124"
"371","XS1514717732"
"372","XS1520710788"
"373","XS1523028436"
"374","XS1527536590"
"375","XS1533915564"
"376","XS1533916299"
"377","XS1551347393"
"378","XS1568874983"
"379","XS1577948174"
"380","XS1584024837"
"381","XS1590503279"
"382","XS1602515733"
"383","XS1603948032"
"384","XS1609252645"
"385","XS1631414932"
"386","XS1635870923"
"387","XS1651444140"
"388","XS1656195796"
"389","XS1681806326"
"390","XS1684385161"
"391","XS1698218523"
"392","XS1700480160"
"393","XS1701435742"
"394","XS1709298969"
"395","XS1709347923"
"396","XS1713495759"
"397","XS1715303779"
"398","XS1731106347"
"399","XS1731881964"
"400","XS1734229203"
"401","XS1756227309"
