"","Portfolio Name","Security Ticker","Price","Date","Shares"
"1","DHARMA STRATEGY",".TFCFEES Equity",0,2015-06-17,-1
"2","DHARMA STRATEGY",".TFCFEES Equity",3572.49,2015-06-19,-1
"3","DHARMA STRATEGY",".TFCFEES Equity",8951.56,2015-06-22,-1
"4","DHARMA STRATEGY",".TFCFEES Equity",14382.48,2015-06-25,-1
"5","DHARMA STRATEGY",".TFCFEES Equity",16194.35,2015-06-26,-1
"6","DHARMA STRATEGY",".TFCFEES Equity",39629.91,2015-06-29,-1
"7","DHARMA STRATEGY",".TFCFEES Equity",21992.25,2015-06-30,-1
"8","DHARMA STRATEGY",".TFCFEES Equity",23685.11,2015-07-01,-1
"9","DHARMA STRATEGY",".TFCFEES Equity",25375.95,2015-07-02,-1
"10","DHARMA STRATEGY",".TFCFEES Equity",27062.79,2015-07-03,-1
"11","DHARMA STRATEGY",".TFCFEES Equity",32106.95,2015-07-06,-1
"12","DHARMA STRATEGY",".TFCFEES Equity",33776.06,2015-07-07,-1
"13","DHARMA STRATEGY",".TFCFEES Equity",37266.59,2015-07-08,-1
"14","DHARMA STRATEGY",".TFCFEES Equity",38931.96,2015-07-09,-1
"15","DHARMA STRATEGY",".TFCFEES Equity",40611.3,2015-07-10,-1
"16","DHARMA STRATEGY",".TFCFEES Equity",45698.05,2015-07-13,-1
"17","DHARMA STRATEGY",".TFCFEES Equity",49119.47,2015-07-15,-1
"18","DHARMA STRATEGY",".TFCFEES Equity",50891.77,2015-07-16,-1
"19","DHARMA STRATEGY",".TFCFEES Equity",52712.47,2015-07-17,-1
"20","DHARMA STRATEGY",".TFCFEES Equity",57861.23,2015-07-20,-1
"21","DHARMA STRATEGY",".TFCFEES Equity",59592.9,2015-07-21,-1
"22","DHARMA STRATEGY",".TFCFEES Equity",62896.91,2015-07-22,-1
"23","DHARMA STRATEGY",".TFCFEES Equity",64575.67,2015-07-23,-1
"24","DHARMA STRATEGY",".TFCFEES Equity",66241.95,2015-07-24,-1
"25","DHARMA STRATEGY",".TFCFEES Equity",71231.12,2015-07-27,-1
"26","DHARMA STRATEGY",".TFCFEES Equity",72897.62,2015-07-28,-1
"27","DHARMA STRATEGY",".TFCFEES Equity",74597.29,2015-07-29,-1
"28","DHARMA STRATEGY",".TFCFEES Equity",76316.32,2015-07-30,-1
"29","DHARMA STRATEGY",".TFCFEES Equity",80319.88,2015-07-31,-1
"30","DHARMA STRATEGY",".TFCFEES Equity",85462.46,2015-08-03,-1
"31","DHARMA STRATEGY",".TFCFEES Equity",87162.08,2015-08-04,-1
