"","Portfolio Name","Security Ticker","Price","Date","Shares"
"1","DHARMA_TFC",".TFCFEES Equity",0,2015-06-17,-1
"2","DHARMA_TFC",".TFCFEES Equity",3572.49,2015-06-19,-1
"3","DHARMA_TFC",".TFCFEES Equity",8951.56,2015-06-22,-1
"4","DHARMA_TFC",".TFCFEES Equity",14382.48,2015-06-25,-1
"5","DHARMA_TFC",".TFCFEES Equity",16194.35,2015-06-26,-1
"6","DHARMA_TFC",".TFCFEES Equity",39629.91,2015-06-29,-1
"7","DHARMA_TFC",".TFCFEES Equity",21992.25,2015-06-30,-1
"8","DHARMA_TFC",".TFCFEES Equity",23684.42,2015-07-01,-1
"9","DHARMA_TFC",".TFCFEES Equity",25375.26,2015-07-02,-1
"10","DHARMA_TFC",".TFCFEES Equity",27062.1,2015-07-03,-1
"11","DHARMA_TFC",".TFCFEES Equity",32106.26,2015-07-06,-1
"12","DHARMA_TFC",".TFCFEES Equity",33775.37,2015-07-07,-1
"13","DHARMA_TFC",".TFCFEES Equity",35404.21,2015-07-08,-1
"14","DHARMA_TFC",".TFCFEES Equity",37069.58,2015-07-09,-1
"15","DHARMA_TFC",".TFCFEES Equity",38748.92,2015-07-10,-1
"16","DHARMA_TFC",".TFCFEES Equity",43835.67,2015-07-13,-1
"17","DHARMA_TFC",".TFCFEES Equity",47257.09,2015-07-15,-1
"18","DHARMA_TFC",".TFCFEES Equity",49029.39,2015-07-16,-1
"19","DHARMA_TFC",".TFCFEES Equity",50850.09,2015-07-17,-1
"20","DHARMA_TFC",".TFCFEES Equity",55998.85,2015-07-20,-1
"21","DHARMA_TFC",".TFCFEES Equity",57730.52,2015-07-21,-1
"22","DHARMA_TFC",".TFCFEES Equity",61034.53,2015-07-22,-1
"23","DHARMA_TFC",".TFCFEES Equity",62713.29,2015-07-23,-1
"24","DHARMA_TFC",".TFCFEES Equity",64379.57,2015-07-24,-1
"25","DHARMA_TFC",".TFCFEES Equity",69368.74,2015-07-27,-1
"26","DHARMA_TFC",".TFCFEES Equity",71035.24,2015-07-28,-1
"27","DHARMA_TFC",".TFCFEES Equity",72734.91,2015-07-29,-1
"28","DHARMA_TFC",".TFCFEES Equity",74453.94,2015-07-30,-1
"29","DHARMA_TFC",".TFCFEES Equity",78457.5,2015-07-31,-1
"30","DHARMA_TFC",".TFCFEES Equity",83542.8,2015-08-03,-1
"31","DHARMA_TFC",".TFCFEES Equity",85242.42,2015-08-04,-1
"32","DHARMA_TFC",".TFCFEES Equity",87001.06,2015-08-05,-1
"33","DHARMA_TFC",".TFCFEES Equity",88694.23,2015-08-06,-1
"34","DHARMA_TFC",".TFCFEES Equity",87909.77,2015-08-07,-1
"35","DHARMA_TFC",".TFCFEES Equity",93039.05,2015-08-10,-1
"36","DHARMA_TFC",".TFCFEES Equity",94659.96,2015-08-11,-1
"37","DHARMA_TFC",".TFCFEES Equity",96255.62,2015-08-12,-1
"38","DHARMA_TFC",".TFCFEES Equity",97908.05,2015-08-13,-1
"39","DHARMA_TFC",".TFCFEES Equity",99559.99,2015-08-14,-1
"40","DHARMA_TFC",".TFCFEES Equity",104594.52,2015-08-17,-1
"41","DHARMA_TFC",".TFCFEES Equity",106222.49,2015-08-18,-1
"42","DHARMA_TFC",".TFCFEES Equity",107710.56,2015-08-19,-1
"43","DHARMA_TFC",".TFCFEES Equity",109177.47,2015-08-20,-1
"44","DHARMA_TFC",".TFCFEES Equity",111217.77,2015-08-21,-1
"45","DHARMA_TFC",".TFCFEES Equity",115754.45,2015-08-24,-1
"46","DHARMA_TFC",".TFCFEES Equity",117181.41,2015-08-25,-1
"47","DHARMA_TFC",".TFCFEES Equity",118617.33,2015-08-26,-1
"48","DHARMA_TFC",".TFCFEES Equity",120201.1,2015-08-27,-1
"49","DHARMA_TFC",".TFCFEES Equity",121719.32,2015-08-28,-1
"50","DHARMA_TFC",".TFCFEES Equity",126307.26,2015-08-31,-1
"51","DHARMA_TFC",".TFCFEES Equity",127731.21,2015-09-01,-1
"52","DHARMA_TFC",".TFCFEES Equity",129262.59,2015-09-02,-1
"53","DHARMA_TFC",".TFCFEES Equity",130987.62,2015-09-03,-1
"54","DHARMA_TFC",".TFCFEES Equity",132431.31,2015-09-04,-1
"55","DHARMA_TFC",".TFCFEES Equity",136950.94,2015-09-07,-1
"56","DHARMA_TFC",".TFCFEES Equity",138532.45,2015-09-08,-1
"57","DHARMA_TFC",".TFCFEES Equity",140066.52,2015-09-09,-1
"58","DHARMA_TFC",".TFCFEES Equity",141571.05,2015-09-10,-1
"59","DHARMA_TFC",".TFCFEES Equity",143058.43,2015-09-11,-1
"60","DHARMA_TFC",".TFCFEES Equity",149146.59,2015-09-15,-1
"61","DHARMA_TFC",".TFCFEES Equity",150726.12,2015-09-16,-1
"62","DHARMA_TFC",".TFCFEES Equity",152819.35,2015-09-17,-1
"63","DHARMA_TFC",".TFCFEES Equity",154836.46,2015-09-18,-1
"64","DHARMA_TFC",".TFCFEES Equity",159392.87,2015-09-21,-1
"65","DHARMA_TFC",".TFCFEES Equity",160781.67,2015-09-22,-1
"66","DHARMA_TFC",".TFCFEES Equity",162219.49,2015-09-23,-1
"67","DHARMA_TFC",".TFCFEES Equity",163574.56,2015-09-24,-1
"68","DHARMA_TFC",".TFCFEES Equity",165068.41,2015-09-25,-1
"69","DHARMA_TFC",".TFCFEES Equity",169391.95,2015-09-28,-1
"70","DHARMA_TFC",".TFCFEES Equity",170807.5,2015-09-29,-1
"71","DHARMA_TFC",".TFCFEES Equity",172362.88,2015-09-30,-1
"72","DHARMA_TFC",".TFCFEES Equity",173820.78,2015-10-01,-1
"73","DHARMA_TFC",".TFCFEES Equity",175291.27,2015-10-02,-1
"74","DHARMA_TFC",".TFCFEES Equity",179764.04,2015-10-05,-1
"75","DHARMA_TFC",".TFCFEES Equity",181289.64,2015-10-06,-1
"76","DHARMA_TFC",".TFCFEES Equity",182839.19,2015-10-07,-1
"77","DHARMA_TFC",".TFCFEES Equity",184394.81,2015-10-08,-1
"78","DHARMA_TFC",".TFCFEES Equity",185941.44,2015-10-09,-1
"79","DHARMA_TFC",".TFCFEES Equity",190504.25,2015-10-12,-1
"80","DHARMA_TFC",".TFCFEES Equity",191988.07,2015-10-13,-1
