"","Portfolio Name","Security ID","Type","Quantity","Price","Date"
"1","DHARMA EQ","CFM15 Index","",-375,"",2015-06-17
"2","DHARMA EQ","SOLB BB Equity","",1850,"",2015-06-17
"3","DHARMA EQ","POT CN Equity","",15450,"",2015-06-17
"4","DHARMA EQ","SYNN SW Equity","",1400,"",2015-06-17
"5","DHARMA EQ","ABBN SW Equity","",21300,"",2015-06-17
"6","DHARMA EQ","NESN SW Equity","",8800,"",2015-06-17
"7","DHARMA EQ","BMW GY Equity","",7400,"",2015-06-17
"8","DHARMA EQ","SIE GY Equity","",6100,"",2015-06-17
"9","DHARMA EQ","VOW3 GY Equity","",2000,"",2015-06-17
"10","DHARMA EQ","SX6PEX GY Equity","",14800,"",2015-06-17
"11","DHARMA EQ","BAS GY Equity","",10900,"",2015-06-17
"12","DHARMA EQ","CS FP Equity","",20400,"",2015-06-17
"13","DHARMA EQ","MC FP Equity","",2425,"",2015-06-17
"14","DHARMA EQ","ML FP Equity","",9300,"",2015-06-17
"15","DHARMA EQ","CO FP Equity","",3400,"",2015-06-17
"16","DHARMA EQ","SCR FP Equity","",22000,"",2015-06-17
"17","DHARMA EQ","ADN LN Equity","",150000,"",2015-06-17
"18","DHARMA EQ","BLT LN Equity","",46054,"",2015-06-17
"19","DHARMA EQ","SKY LN Equity","",14550,"",2015-06-17
"20","DHARMA EQ","BA/ LN Equity","",64000,"",2015-06-17
"21","DHARMA EQ","MRW LN Equity","",1e+05,"",2015-06-17
"22","DHARMA EQ","BP/ LN Equity","",87832,"",2015-06-17
"23","DHARMA EQ","KGF LN Equity","",55000,"",2015-06-17
"24","DHARMA EQ","SBRY LN Equity","",105000,"",2015-06-17
"25","DHARMA EQ","SMIN LN Equity","",10000,"",2015-06-17
"26","DHARMA EQ","RB/ LN Equity","",4530,"",2015-06-17
"27","DHARMA EQ","ESV US Equity","",8000,"",2015-06-17
"28","DHARMA EQ","STX US Equity","",21100,"",2015-06-17
"29","DHARMA EQ","XSMI SW Equity","",11000,"",2015-06-17
"30","DHARMA EQ","XSDR GY Equity","",5200,"",2015-06-17
"31","DHARMA EQ","PHIA NA Equity","",12000,"",2015-06-17
"32","DHARMA EQ","AIR FP Equity","",7000,"",2015-06-17
"33","DHARMA EQ","LYB US Equity","",4300,"",2015-06-17
"34","DHARMA EQ","AD NA Equity","",34520,"",2015-06-17
"35","DHARMA EQ","ATCOA SS Equity","",14000,"",2015-06-17
"36","DHARMA EQ","ABBV US Equity","",3300,"",2015-06-17
"37","DHARMA EQ","AAPL US Equity","",2402,"",2015-06-17
"38","DHARMA EQ","AMAT US Equity","",20500,"",2015-06-17
"39","DHARMA EQ","BAX US Equity","",8800,"",2015-06-17
"40","DHARMA EQ","BA US Equity","",7100,"",2015-06-17
"41","DHARMA EQ","CA US Equity","",33700,"",2015-06-17
"42","DHARMA EQ","CAT US Equity","",11700,"",2015-06-17
"43","DHARMA EQ","CVX US Equity","",6039,"",2015-06-17
"44","DHARMA EQ","CSCO US Equity","",16000,"",2015-06-17
"45","DHARMA EQ","TPR US Equity","",10800,"",2015-06-17
"46","DHARMA EQ","COP US Equity","",4882,"",2015-06-17
"47","DHARMA EQ","GLW US Equity","",49750,"",2015-06-17
"48","DHARMA EQ","DE US Equity","",8500,"",2015-06-17
"49","DHARMA EQ","DOW US Equity","",7700,"",2015-06-17
"50","DHARMA EQ","EMR US Equity","",3000,"",2015-06-17
"51","DHARMA EQ","INTC US Equity","",31100,"",2015-06-17
"52","DHARMA EQ","JNJ US Equity","",7100,"",2015-06-17
"53","DHARMA EQ","KLAC US Equity","",7900,"",2015-06-17
"54","DHARMA EQ","LMT US Equity","",3800,"",2015-06-17
"55","DHARMA EQ","MRK US Equity","",8100,"",2015-06-17
"56","DHARMA EQ","MSFT US Equity","",22050,"",2015-06-17
"57","DHARMA EQ","NOC US Equity","",1300,"",2015-06-17
"58","DHARMA EQ","OXY US Equity","",3399,"",2015-06-17
"59","DHARMA EQ","PFE US Equity","",5000,"",2015-06-17
"60","DHARMA EQ","QCOM US Equity","",15150,"",2015-06-17
"61","DHARMA EQ","RTN US Equity","",3400,"",2015-06-17
"62","DHARMA EQ","STO US Equity","",43299,"",2015-06-17
"63","DHARMA EQ","SOLB BB Equity","",1850,"",2015-06-19
"64","DHARMA EQ","POT CN Equity","",15450,"",2015-06-19
"65","DHARMA EQ","SYNN SW Equity","",1400,"",2015-06-19
"66","DHARMA EQ","ABBN SW Equity","",21300,"",2015-06-19
"67","DHARMA EQ","NESN SW Equity","",8800,"",2015-06-19
"68","DHARMA EQ","BMW GY Equity","",7400,"",2015-06-19
"69","DHARMA EQ","SIE GY Equity","",6100,"",2015-06-19
"70","DHARMA EQ","VOW3 GY Equity","",2000,"",2015-06-19
"71","DHARMA EQ","SX6PEX GY Equity","",14800,"",2015-06-19
"72","DHARMA EQ","BAS GY Equity","",10900,"",2015-06-19
"73","DHARMA EQ","BAYN GY Equity","",1400,"",2015-06-19
"74","DHARMA EQ","CS FP Equity","",20400,"",2015-06-19
"75","DHARMA EQ","MC FP Equity","",2425,"",2015-06-19
"76","DHARMA EQ","ML FP Equity","",9300,"",2015-06-19
"77","DHARMA EQ","CO FP Equity","",3400,"",2015-06-19
"78","DHARMA EQ","SCR FP Equity","",22000,"",2015-06-19
"79","DHARMA EQ","ADN LN Equity","",150000,"",2015-06-19
"80","DHARMA EQ","BLT LN Equity","",46054,"",2015-06-19
"81","DHARMA EQ","SKY LN Equity","",14550,"",2015-06-19
"82","DHARMA EQ","BA/ LN Equity","",64000,"",2015-06-19
"83","DHARMA EQ","MRW LN Equity","",1e+05,"",2015-06-19
"84","DHARMA EQ","BP/ LN Equity","",87832,"",2015-06-19
"85","DHARMA EQ","BT/A LN Equity","",69500,"",2015-06-19
