"","Portfolio Name","Security ID","Type","Quantity","Price","Date"
"1","DHARMA STRATEGY","CFM15 Index","",-375,"",2015-06-17
"2","DHARMA STRATEGY","SOLB BB Equity","",1850,"",2015-06-17
"3","DHARMA STRATEGY","POT CN Equity","",15450,"",2015-06-17
"4","DHARMA STRATEGY","SYNN SW Equity","",1400,"",2015-06-17
"5","DHARMA STRATEGY","ABBN SW Equity","",21300,"",2015-06-17
"6","DHARMA STRATEGY","NESN SW Equity","",8800,"",2015-06-17
"7","DHARMA STRATEGY","BMW GY Equity","",7400,"",2015-06-17
"8","DHARMA STRATEGY","SIE GY Equity","",6100,"",2015-06-17
"9","DHARMA STRATEGY","VOW3 GY Equity","",2000,"",2015-06-17
"10","DHARMA STRATEGY","SX6PEX GY Equity","",14800,"",2015-06-17
"11","DHARMA STRATEGY","BAS GY Equity","",10900,"",2015-06-17
"12","DHARMA STRATEGY","CS FP Equity","",20400,"",2015-06-17
"13","DHARMA STRATEGY","MC FP Equity","",2425,"",2015-06-17
"14","DHARMA STRATEGY","ML FP Equity","",9300,"",2015-06-17
"15","DHARMA STRATEGY","CO FP Equity","",3400,"",2015-06-17
"16","DHARMA STRATEGY","SCR FP Equity","",22000,"",2015-06-17
"17","DHARMA STRATEGY","ADN LN Equity","",150000,"",2015-06-17
"18","DHARMA STRATEGY","BLT LN Equity","",46054,"",2015-06-17
"19","DHARMA STRATEGY","SKY LN Equity","",14550,"",2015-06-17
"20","DHARMA STRATEGY","BA/ LN Equity","",64000,"",2015-06-17
"21","DHARMA STRATEGY","MRW LN Equity","",1e+05,"",2015-06-17
"22","DHARMA STRATEGY","BP/ LN Equity","",87832,"",2015-06-17
"23","DHARMA STRATEGY","KGF LN Equity","",55000,"",2015-06-17
"24","DHARMA STRATEGY","SBRY LN Equity","",105000,"",2015-06-17
"25","DHARMA STRATEGY","SMIN LN Equity","",10000,"",2015-06-17
"26","DHARMA STRATEGY","RB/ LN Equity","",4530,"",2015-06-17
"27","DHARMA STRATEGY","ESV US Equity","",8000,"",2015-06-17
"28","DHARMA STRATEGY","STX US Equity","",21100,"",2015-06-17
"29","DHARMA STRATEGY","XSMI SW Equity","",11000,"",2015-06-17
"30","DHARMA STRATEGY","XSDR GY Equity","",5200,"",2015-06-17
"31","DHARMA STRATEGY","PHIA NA Equity","",12000,"",2015-06-17
"32","DHARMA STRATEGY","AIR FP Equity","",7000,"",2015-06-17
"33","DHARMA STRATEGY","LYB US Equity","",4300,"",2015-06-17
"34","DHARMA STRATEGY","AD NA Equity","",34520,"",2015-06-17
"35","DHARMA STRATEGY","ATCOA SS Equity","",14000,"",2015-06-17
"36","DHARMA STRATEGY","ABBV US Equity","",3300,"",2015-06-17
"37","DHARMA STRATEGY","AAPL US Equity","",2402,"",2015-06-17
"38","DHARMA STRATEGY","AMAT US Equity","",20500,"",2015-06-17
"39","DHARMA STRATEGY","BAX US Equity","",8800,"",2015-06-17
"40","DHARMA STRATEGY","BA US Equity","",7100,"",2015-06-17
"41","DHARMA STRATEGY","CA US Equity","",33700,"",2015-06-17
"42","DHARMA STRATEGY","CAT US Equity","",11700,"",2015-06-17
"43","DHARMA STRATEGY","CVX US Equity","",6039,"",2015-06-17
"44","DHARMA STRATEGY","CSCO US Equity","",16000,"",2015-06-17
"45","DHARMA STRATEGY","TPR US Equity","",10800,"",2015-06-17
"46","DHARMA STRATEGY","COP US Equity","",4882,"",2015-06-17
"47","DHARMA STRATEGY","GLW US Equity","",49750,"",2015-06-17
"48","DHARMA STRATEGY","DE US Equity","",8500,"",2015-06-17
"49","DHARMA STRATEGY","DOW US Equity","",7700,"",2015-06-17
"50","DHARMA STRATEGY","EMR US Equity","",3000,"",2015-06-17
"51","DHARMA STRATEGY","INTC US Equity","",31100,"",2015-06-17
"52","DHARMA STRATEGY","JNJ US Equity","",7100,"",2015-06-17
"53","DHARMA STRATEGY","KLAC US Equity","",7900,"",2015-06-17
"54","DHARMA STRATEGY","LMT US Equity","",3800,"",2015-06-17
"55","DHARMA STRATEGY","MRK US Equity","",8100,"",2015-06-17
"56","DHARMA STRATEGY","MSFT US Equity","",22050,"",2015-06-17
"57","DHARMA STRATEGY","NOC US Equity","",1300,"",2015-06-17
"58","DHARMA STRATEGY","OXY US Equity","",3399,"",2015-06-17
"59","DHARMA STRATEGY","PFE US Equity","",5000,"",2015-06-17
"60","DHARMA STRATEGY","QCOM US Equity","",15150,"",2015-06-17
"61","DHARMA STRATEGY","RTN US Equity","",3400,"",2015-06-17
"62","DHARMA STRATEGY","STO US Equity","",43299,"",2015-06-17
"63","DHARMA STRATEGY","SOLB BB Equity","",1850,"",2015-06-19
"64","DHARMA STRATEGY","POT CN Equity","",15450,"",2015-06-19
"65","DHARMA STRATEGY","SYNN SW Equity","",1400,"",2015-06-19
"66","DHARMA STRATEGY","ABBN SW Equity","",21300,"",2015-06-19
"67","DHARMA STRATEGY","NESN SW Equity","",8800,"",2015-06-19
"68","DHARMA STRATEGY","BMW GY Equity","",7400,"",2015-06-19
"69","DHARMA STRATEGY","SIE GY Equity","",6100,"",2015-06-19
"70","DHARMA STRATEGY","VOW3 GY Equity","",2000,"",2015-06-19
"71","DHARMA STRATEGY","SX6PEX GY Equity","",14800,"",2015-06-19
"72","DHARMA STRATEGY","BAS GY Equity","",10900,"",2015-06-19
"73","DHARMA STRATEGY","BAYN GY Equity","",1400,"",2015-06-19
"74","DHARMA STRATEGY","CS FP Equity","",20400,"",2015-06-19
"75","DHARMA STRATEGY","MC FP Equity","",2425,"",2015-06-19
"76","DHARMA STRATEGY","ML FP Equity","",9300,"",2015-06-19
"77","DHARMA STRATEGY","CO FP Equity","",3400,"",2015-06-19
"78","DHARMA STRATEGY","SCR FP Equity","",22000,"",2015-06-19
"79","DHARMA STRATEGY","ADN LN Equity","",150000,"",2015-06-19
"80","DHARMA STRATEGY","BLT LN Equity","",46054,"",2015-06-19
"81","DHARMA STRATEGY","SKY LN Equity","",14550,"",2015-06-19
"82","DHARMA STRATEGY","BA/ LN Equity","",64000,"",2015-06-19
"83","DHARMA STRATEGY","MRW LN Equity","",1e+05,"",2015-06-19
"84","DHARMA STRATEGY","BP/ LN Equity","",87832,"",2015-06-19
"85","DHARMA STRATEGY","BT/A LN Equity","",69500,"",2015-06-19
"86","DHARMA STRATEGY","KGF LN Equity","",55000,"",2015-06-19
"87","DHARMA STRATEGY","SBRY LN Equity","",105000,"",2015-06-19
"88","DHARMA STRATEGY","SMIN LN Equity","",10000,"",2015-06-19
"89","DHARMA STRATEGY","RB/ LN Equity","",4530,"",2015-06-19
"90","DHARMA STRATEGY","ESV US Equity","",8000,"",2015-06-19
"91","DHARMA STRATEGY","STX US Equity","",21100,"",2015-06-19
"92","DHARMA STRATEGY","XSMI SW Equity","",11000,"",2015-06-19
"93","DHARMA STRATEGY","XSDR GY Equity","",5200,"",2015-06-19
"94","DHARMA STRATEGY","PHIA NA Equity","",12000,"",2015-06-19
"95","DHARMA STRATEGY","AIR FP Equity","",7000,"",2015-06-19
"96","DHARMA STRATEGY","LYB US Equity","",4300,"",2015-06-19
"97","DHARMA STRATEGY","AD NA Equity","",34520,"",2015-06-19
"98","DHARMA STRATEGY","ATCOA SS Equity","",14000,"",2015-06-19
"99","DHARMA STRATEGY","ABBV US Equity","",3300,"",2015-06-19
"100","DHARMA STRATEGY","AAPL US Equity","",2402,"",2015-06-19
"101","DHARMA STRATEGY","AMAT US Equity","",20500,"",2015-06-19
"102","DHARMA STRATEGY","BAX US Equity","",11650,"",2015-06-19
"103","DHARMA STRATEGY","BA US Equity","",7100,"",2015-06-19
"104","DHARMA STRATEGY","CA US Equity","",33700,"",2015-06-19
"105","DHARMA STRATEGY","CAT US Equity","",11700,"",2015-06-19
"106","DHARMA STRATEGY","CVX US Equity","",6039,"",2015-06-19
"107","DHARMA STRATEGY","CSCO US Equity","",16000,"",2015-06-19
"108","DHARMA STRATEGY","TPR US Equity","",10800,"",2015-06-19
"109","DHARMA STRATEGY","COP US Equity","",4882,"",2015-06-19
"110","DHARMA STRATEGY","GLW US Equity","",49750,"",2015-06-19
"111","DHARMA STRATEGY","DE US Equity","",8500,"",2015-06-19
"112","DHARMA STRATEGY","DOW US Equity","",7700,"",2015-06-19
"113","DHARMA STRATEGY","EMR US Equity","",3000,"",2015-06-19
"114","DHARMA STRATEGY","INTC US Equity","",31100,"",2015-06-19
"115","DHARMA STRATEGY","JNJ US Equity","",10050,"",2015-06-19
"116","DHARMA STRATEGY","KLAC US Equity","",7900,"",2015-06-19
"117","DHARMA STRATEGY","LMT US Equity","",3800,"",2015-06-19
"118","DHARMA STRATEGY","MRK US Equity","",13750,"",2015-06-19
"119","DHARMA STRATEGY","MSFT US Equity","",22050,"",2015-06-19
"120","DHARMA STRATEGY","NOC US Equity","",1300,"",2015-06-19
"121","DHARMA STRATEGY","OXY US Equity","",3399,"",2015-06-19
"122","DHARMA STRATEGY","PFE US Equity","",10000,"",2015-06-19
"123","DHARMA STRATEGY","QCOM US Equity","",15150,"",2015-06-19
"124","DHARMA STRATEGY","RTN US Equity","",3400,"",2015-06-19
"125","DHARMA STRATEGY","STO US Equity","",43299,"",2015-06-19
"126","DHARMA STRATEGY","SOLB BB Equity","",1850,"",2015-06-22
"127","DHARMA STRATEGY","POT CN Equity","",15450,"",2015-06-22
"128","DHARMA STRATEGY","SYNN SW Equity","",1400,"",2015-06-22
"129","DHARMA STRATEGY","ABBN SW Equity","",21300,"",2015-06-22
"130","DHARMA STRATEGY","NESN SW Equity","",8800,"",2015-06-22
"131","DHARMA STRATEGY","BMW GY Equity","",7400,"",2015-06-22
"132","DHARMA STRATEGY","SIE GY Equity","",6100,"",2015-06-22
"133","DHARMA STRATEGY","VOW3 GY Equity","",2000,"",2015-06-22
"134","DHARMA STRATEGY","SX6PEX GY Equity","",14800,"",2015-06-22
"135","DHARMA STRATEGY","BAS GY Equity","",10900,"",2015-06-22
"136","DHARMA STRATEGY","BAYN GY Equity","",2800,"",2015-06-22
"137","DHARMA STRATEGY","CS FP Equity","",20400,"",2015-06-22
"138","DHARMA STRATEGY","MC FP Equity","",2425,"",2015-06-22
"139","DHARMA STRATEGY","ML FP Equity","",9300,"",2015-06-22
"140","DHARMA STRATEGY","CO FP Equity","",3400,"",2015-06-22
"141","DHARMA STRATEGY","SCR FP Equity","",22000,"",2015-06-22
"142","DHARMA STRATEGY","ADN LN Equity","",150000,"",2015-06-22
"143","DHARMA STRATEGY","BLT LN Equity","",46054,"",2015-06-22
"144","DHARMA STRATEGY","SKY LN Equity","",14550,"",2015-06-22
"145","DHARMA STRATEGY","BA/ LN Equity","",64000,"",2015-06-22
"146","DHARMA STRATEGY","MRW LN Equity","",1e+05,"",2015-06-22
"147","DHARMA STRATEGY","BP/ LN Equity","",87832,"",2015-06-22
"148","DHARMA STRATEGY","BT/A LN Equity","",69500,"",2015-06-22
"149","DHARMA STRATEGY","KGF LN Equity","",55000,"",2015-06-22
"150","DHARMA STRATEGY","SBRY LN Equity","",105000,"",2015-06-22
"151","DHARMA STRATEGY","SMIN LN Equity","",10000,"",2015-06-22
"152","DHARMA STRATEGY","RB/ LN Equity","",4530,"",2015-06-22
"153","DHARMA STRATEGY","ESV US Equity","",8000,"",2015-06-22
"154","DHARMA STRATEGY","STX US Equity","",21100,"",2015-06-22
"155","DHARMA STRATEGY","XSMI SW Equity","",11000,"",2015-06-22
"156","DHARMA STRATEGY","XSDR GY Equity","",5200,"",2015-06-22
"157","DHARMA STRATEGY","PHIA NA Equity","",12000,"",2015-06-22
"158","DHARMA STRATEGY","AIR FP Equity","",7000,"",2015-06-22
"159","DHARMA STRATEGY","LYB US Equity","",4300,"",2015-06-22
"160","DHARMA STRATEGY","AD NA Equity","",34520,"",2015-06-22
"161","DHARMA STRATEGY","ATCOA SS Equity","",14000,"",2015-06-22
"162","DHARMA STRATEGY","ABBV US Equity","",3300,"",2015-06-22
"163","DHARMA STRATEGY","AAPL US Equity","",2402,"",2015-06-22
"164","DHARMA STRATEGY","AMAT US Equity","",20500,"",2015-06-22
"165","DHARMA STRATEGY","BAX US Equity","",11650,"",2015-06-22
"166","DHARMA STRATEGY","BA US Equity","",7100,"",2015-06-22
"167","DHARMA STRATEGY","CA US Equity","",33700,"",2015-06-22
"168","DHARMA STRATEGY","CAT US Equity","",11700,"",2015-06-22
"169","DHARMA STRATEGY","CVX US Equity","",6039,"",2015-06-22
"170","DHARMA STRATEGY","CSCO US Equity","",16000,"",2015-06-22
"171","DHARMA STRATEGY","TPR US Equity","",10800,"",2015-06-22
"172","DHARMA STRATEGY","COP US Equity","",4882,"",2015-06-22
"173","DHARMA STRATEGY","GLW US Equity","",49750,"",2015-06-22
"174","DHARMA STRATEGY","DE US Equity","",8500,"",2015-06-22
"175","DHARMA STRATEGY","DOW US Equity","",7700,"",2015-06-22
"176","DHARMA STRATEGY","EMR US Equity","",3000,"",2015-06-22
"177","DHARMA STRATEGY","INTC US Equity","",31100,"",2015-06-22
"178","DHARMA STRATEGY","JNJ US Equity","",10050,"",2015-06-22
"179","DHARMA STRATEGY","KLAC US Equity","",7900,"",2015-06-22
"180","DHARMA STRATEGY","LMT US Equity","",3800,"",2015-06-22
"181","DHARMA STRATEGY","MRK US Equity","",13750,"",2015-06-22
"182","DHARMA STRATEGY","MSFT US Equity","",22050,"",2015-06-22
"183","DHARMA STRATEGY","NOC US Equity","",1300,"",2015-06-22
"184","DHARMA STRATEGY","OXY US Equity","",3399,"",2015-06-22
"185","DHARMA STRATEGY","PFE US Equity","",10000,"",2015-06-22
"186","DHARMA STRATEGY","QCOM US Equity","",15150,"",2015-06-22
"187","DHARMA STRATEGY","RTN US Equity","",3400,"",2015-06-22
"188","DHARMA STRATEGY","STO US Equity","",43299,"",2015-06-22
"189","DHARMA STRATEGY","SOLB BB Equity","",1850,"",2015-06-25
"190","DHARMA STRATEGY","POT CN Equity","",15450,"",2015-06-25
"191","DHARMA STRATEGY","SYNN SW Equity","",1400,"",2015-06-25
"192","DHARMA STRATEGY","ABBN SW Equity","",21300,"",2015-06-25
"193","DHARMA STRATEGY","NESN SW Equity","",8800,"",2015-06-25
"194","DHARMA STRATEGY","BMW GY Equity","",7400,"",2015-06-25
"195","DHARMA STRATEGY","SIE GY Equity","",6100,"",2015-06-25
