"","Security ID","Portfolio Name","Quantity","Price","Date"
"1","USD/EUR 09/15/2016 @ BGN Curncy","DEQ",-3e+06,0,2016-06-22
"2","USD/GBP 09/15/2016 @ BGN Curncy","DEQ",-2045100,0,2016-06-24
"3","USD/EUR 12/15/2017 @ BGN Curncy","DEQ",-1e+06,0,2017-10-06
"4","USD/EUR 03/28/2018 @ BGN Curncy","DEQ",-4800000,0,2018-02-28
"5","USD/EUR 06/27/2018 @ BGN Curncy","DEQ",-4800000,0,2018-03-26
"6","SEK/EUR 06/27/2018 @ BGN Curncy","DEQ",-4e+05,0,2018-04-24
"7","DKK/EUR 06/27/2018 @ BGN Curncy","DEQ",-457000,0,2018-04-24
"8","EUR/SEK 06/27/2018 @ BGN Curncy","DEQ",-38392.51,0,2018-04-25
"9","EUR/DKK 06/27/2018 @ BGN Curncy","DEQ",-61375.24,0,2018-04-25
"10","EUR/USD 06/27/2018 @ BGN Curncy","DEQ",-654664.48,0,2018-04-26
