"","PortfolioName","SecurityId","Quantity","Price","Date","Cost"
"1","DEQ","CFM15 Index",-375,0,2015-06-17,NA
"2","DEQ","SOLB BB Equity",1850,0,2015-06-17,NA
"3","DEQ","POT CN Equity",15450,0,2015-06-17,NA
"4","DEQ","SYNN SW Equity",1400,0,2015-06-17,NA
"5","DEQ","ABBN SW Equity",21300,0,2015-06-17,NA
"6","DEQ","NESN SW Equity",8800,0,2015-06-17,NA
"7","DEQ","BMW GY Equity",7400,0,2015-06-17,NA
"8","DEQ","SIE GY Equity",6100,0,2015-06-17,NA
"9","DEQ","VOW3 GY Equity",2000,0,2015-06-17,NA
"10","DEQ","SX6PEX GY Equity",14800,0,2015-06-17,NA
"11","DEQ","BAS GY Equity",10900,0,2015-06-17,NA
"12","DEQ","CS FP Equity",20400,0,2015-06-17,NA
"13","DEQ","MC FP Equity",2425,0,2015-06-17,NA
"14","DEQ","ML FP Equity",9300,0,2015-06-17,NA
"15","DEQ","CO FP Equity",3400,0,2015-06-17,NA
"16","DEQ","SCR FP Equity",22000,0,2015-06-17,NA
"17","DEQ","ADN LN Equity",150000,0,2015-06-17,NA
"18","DEQ","BLT LN Equity",46054,0,2015-06-17,NA
"19","DEQ","SKY LN Equity",14550,0,2015-06-17,NA
"20","DEQ","BA/ LN Equity",64000,0,2015-06-17,NA
"21","DEQ","MRW LN Equity",1e+05,0,2015-06-17,NA
"22","DEQ","BP/ LN Equity",87832,0,2015-06-17,NA
"23","DEQ","KGF LN Equity",55000,0,2015-06-17,NA
"24","DEQ","SBRY LN Equity",105000,0,2015-06-17,NA
"25","DEQ","SMIN LN Equity",10000,0,2015-06-17,NA
"26","DEQ","RB/ LN Equity",4530,0,2015-06-17,NA
"27","DEQ","ESV US Equity",8000,0,2015-06-17,NA
"28","DEQ","STX US Equity",21100,0,2015-06-17,NA
"29","DEQ","XSMI SW Equity",11000,0,2015-06-17,NA
"30","DEQ","XSDR GY Equity",5200,0,2015-06-17,NA
"31","DEQ","PHIA NA Equity",12000,0,2015-06-17,NA
"32","DEQ","AIR FP Equity",7000,0,2015-06-17,NA
"33","DEQ","LYB US Equity",4300,0,2015-06-17,NA
"34","DEQ","AD NA Equity",34520,0,2015-06-17,NA
"35","DEQ","ATCOA SS Equity",14000,0,2015-06-17,NA
"36","DEQ","ABBV US Equity",3300,0,2015-06-17,NA
"37","DEQ","AAPL US Equity",2402,0,2015-06-17,NA
"38","DEQ","AMAT US Equity",20500,0,2015-06-17,NA
"39","DEQ","BAX US Equity",8800,0,2015-06-17,NA
"40","DEQ","BA US Equity",7100,0,2015-06-17,NA
"41","DEQ","CA US Equity",33700,0,2015-06-17,NA
"42","DEQ","CAT US Equity",11700,0,2015-06-17,NA
"43","DEQ","CVX US Equity",6039,0,2015-06-17,NA
"44","DEQ","CSCO US Equity",16000,0,2015-06-17,NA
"45","DEQ","TPR US Equity",10800,0,2015-06-17,NA
"46","DEQ","COP US Equity",4882,0,2015-06-17,NA
"47","DEQ","GLW US Equity",49750,0,2015-06-17,NA
"48","DEQ","DE US Equity",8500,0,2015-06-17,NA
"49","DEQ","DOW US Equity",7700,0,2015-06-17,NA
"50","DEQ","EMR US Equity",3000,0,2015-06-17,NA
"51","DEQ","INTC US Equity",31100,0,2015-06-17,NA
"52","DEQ","JNJ US Equity",7100,0,2015-06-17,NA
"53","DEQ","KLAC US Equity",7900,0,2015-06-17,NA
