"","PortfolioName","SecurityId","Quantity","Price","Date"
"1","DHARMA EQ","CFM15 Index",-375,0,2015-06-17
"2","DHARMA EQ","SOLB BB Equity",1850,0,2015-06-17
"3","DHARMA EQ","POT CN Equity",15450,0,2015-06-17
"4","DHARMA EQ","SYNN SW Equity",1400,0,2015-06-17
"5","DHARMA EQ","ABBN SW Equity",21300,0,2015-06-17
"6","DHARMA EQ","NESN SW Equity",8800,0,2015-06-17
"7","DHARMA EQ","BMW GY Equity",7400,0,2015-06-17
"8","DHARMA EQ","SIE GY Equity",6100,0,2015-06-17
"9","DHARMA EQ","VOW3 GY Equity",2000,0,2015-06-17
"10","DHARMA EQ","SX6PEX GY Equity",14800,0,2015-06-17
"11","DHARMA EQ","BAS GY Equity",10900,0,2015-06-17
"12","DHARMA EQ","CS FP Equity",20400,0,2015-06-17
"13","DHARMA EQ","MC FP Equity",2425,0,2015-06-17
"14","DHARMA EQ","ML FP Equity",9300,0,2015-06-17
"15","DHARMA EQ","CO FP Equity",3400,0,2015-06-17
"16","DHARMA EQ","SCR FP Equity",22000,0,2015-06-17
"17","DHARMA EQ","ADN LN Equity",150000,0,2015-06-17
"18","DHARMA EQ","BLT LN Equity",46054,0,2015-06-17
"19","DHARMA EQ","SKY LN Equity",14550,0,2015-06-17
"20","DHARMA EQ","BA/ LN Equity",64000,0,2015-06-17
"21","DHARMA EQ","MRW LN Equity",1e+05,0,2015-06-17
"22","DHARMA EQ","BP/ LN Equity",87832,0,2015-06-17
"23","DHARMA EQ","KGF LN Equity",55000,0,2015-06-17
"24","DHARMA EQ","SBRY LN Equity",105000,0,2015-06-17
"25","DHARMA EQ","SMIN LN Equity",10000,0,2015-06-17
"26","DHARMA EQ","RB/ LN Equity",4530,0,2015-06-17
"27","DHARMA EQ","ESV US Equity",8000,0,2015-06-17
"28","DHARMA EQ","STX US Equity",21100,0,2015-06-17
"29","DHARMA EQ","XSMI SW Equity",11000,0,2015-06-17
"30","DHARMA EQ","XSDR GY Equity",5200,0,2015-06-17
"31","DHARMA EQ","PHIA NA Equity",12000,0,2015-06-17
"32","DHARMA EQ","AIR FP Equity",7000,0,2015-06-17
"33","DHARMA EQ","LYB US Equity",4300,0,2015-06-17
"34","DHARMA EQ","AD NA Equity",34520,0,2015-06-17
"35","DHARMA EQ","ATCOA SS Equity",14000,0,2015-06-17
"36","DHARMA EQ","ABBV US Equity",3300,0,2015-06-17
"37","DHARMA EQ","AAPL US Equity",2402,0,2015-06-17
"38","DHARMA EQ","AMAT US Equity",20500,0,2015-06-17
"39","DHARMA EQ","BAX US Equity",8800,0,2015-06-17
"40","DHARMA EQ","BA US Equity",7100,0,2015-06-17
"41","DHARMA EQ","CA US Equity",33700,0,2015-06-17
"42","DHARMA EQ","CAT US Equity",11700,0,2015-06-17
"43","DHARMA EQ","CVX US Equity",6039,0,2015-06-17
"44","DHARMA EQ","CSCO US Equity",16000,0,2015-06-17
"45","DHARMA EQ","TPR US Equity",10800,0,2015-06-17
"46","DHARMA EQ","COP US Equity",4882,0,2015-06-17
"47","DHARMA EQ","GLW US Equity",49750,0,2015-06-17
"48","DHARMA EQ","DE US Equity",8500,0,2015-06-17
"49","DHARMA EQ","DOW US Equity",7700,0,2015-06-17
"50","DHARMA EQ","EMR US Equity",3000,0,2015-06-17
"51","DHARMA EQ","INTC US Equity",31100,0,2015-06-17
"52","DHARMA EQ","JNJ US Equity",7100,0,2015-06-17
"53","DHARMA EQ","KLAC US Equity",7900,0,2015-06-17
"54","DHARMA EQ","LMT US Equity",3800,0,2015-06-17
"55","DHARMA EQ","MRK US Equity",8100,0,2015-06-17
"56","DHARMA EQ","MSFT US Equity",22050,0,2015-06-17
"57","DHARMA EQ","NOC US Equity",1300,0,2015-06-17
"58","DHARMA EQ","OXY US Equity",3399,0,2015-06-17
"59","DHARMA EQ","PFE US Equity",5000,0,2015-06-17
"60","DHARMA EQ","QCOM US Equity",15150,0,2015-06-17
"61","DHARMA EQ","RTN US Equity",3400,0,2015-06-17
"62","DHARMA EQ","STO US Equity",43299,0,2015-06-17
"63","DHARMA EQ",".TFCFEES FP Equity",-1,0,2015-06-17
"64","DHARMA EQ","CAD Curncy",0,0,2015-06-17
"65","DHARMA EQ","CHF Curncy",0,0,2015-06-17
"66","DHARMA EQ","EUR Curncy",499998.53,0,2015-06-17
"67","DHARMA EQ","GBP Curncy",0,0,2015-06-17
"68","DHARMA EQ","SEK Curncy",0,0,2015-06-17
