"","Date","NAV"
"1",2015-06-17,34565280.48
"2",2015-06-19,34495274.19
"3",2015-06-22,34814582.87
"4",2015-06-25,34929506.89
"5",2015-06-26,34977010.92
"6",2015-06-29,34185606.96
"7",2015-06-30,33899050.81
"8",2015-07-01,34338279.12
"9",2015-07-02,34302039.55
"10",2015-07-03,34214802.31
"11",2015-07-06,33916909.49
"12",2015-07-07,33923079.66
"13",2015-07-08,33381727.29
"14",2015-07-09,33740621.78
"15",2015-07-10,33991893.98
"16",2015-07-13,34728823.75
"17",2015-07-15,34929391.7
"18",2015-07-16,35399293.87
"19",2015-07-17,35374967.74
"20",2015-07-20,35341908.85
"21",2015-07-21,35078087.4
"22",2015-07-22,34835239.27
"23",2015-07-23,34390319.99
"24",2015-07-24,33906783.76
"25",2015-07-27,33261751.29
"26",2015-07-28,33713747.17
"27",2015-07-29,34191396.46
"28",2015-07-30,34548841.04
"29",2015-07-31,34343356.31
"30",2015-08-03,34390122.09
"31",2015-08-04,34433594.06
"32",2015-08-05,34953360.13
"33",2015-08-06,34648274.57
"34",2015-08-07,34457854.71
"35",2015-08-10,34686088.8
"36",2015-08-11,33957357.18
"37",2015-08-12,33381099.96
"38",2015-08-13,33560312.06
"39",2015-08-14,33608279.77
"40",2015-08-17,33731914.4
"41",2015-08-18,33514481.69
"42",2015-08-19,32297626.62
"43",2015-08-20,31463443.9
"44",2015-08-21,30348766.04
"45",2015-08-24,28755848.88
"46",2015-08-25,29291529.39
"47",2015-08-26,29544318.17
"48",2015-08-27,30719429.38
"49",2015-08-28,30850789.92
"50",2015-08-31,30808742.87
"51",2015-09-01,29888451.56
"52",2015-09-02,30146052.66
"53",2015-09-03,30714220
"54",2015-09-04,30019255.02
"55",2015-09-07,30018526.33
"56",2015-09-08,30562269.77
"57",2015-09-09,30589387.61
"58",2015-09-10,30405202.09
"59",2015-09-11,30175596.36
"60",2015-09-15,30302551.35
"61",2015-09-16,30696137.2
"62",2015-09-17,30472729.63
"63",2015-09-18,29794798.97
"64",2015-09-21,30065593.97
"65",2015-09-22,29385984.7
"66",2015-09-23,29237970.68
"67",2015-09-24,28645511.41
"68",2015-09-25,29069888.2
"69",2015-09-28,28384554.66
"70",2015-09-29,28437467.55
