"","x"
"1","AN8068571086"
"2","BE0003470755"
"3","CA73755L1076"
"4","CH0011037469"
"5","CH0012005267"
"6","CH0012032048"
"7","CH0012138605"
"8","CH0012221716"
"9","CH0038863350"
"10","CH0316124541"
"11","DE0005190003"
"12","DE0007100000"
"13","DE0007236101"
"14","DE0007664039"
"15","DE000A0HN5C6"
"16","DE000A0Q4R02"
"17","DE000A1ML7J1"
"18","DE000BASF111"
"19","DE000BAY0017"
"20","ESIN1509"
"21","ESIN1512"
"22","ESIN1603"
"23","ESIN1606"
"24","ESIN1609"
"25","ESIN1703"
"26","ESIN1706"
"27","ESIN1709"
"28","ESIN1712"
"29","ESIN1803"
"30","FR0000120172"
"31","FR0000120578"
"32","FR0000120628"
"33","FR0000121014"
"34","FR0000121261"
"35","FR0000121329"
"36","FR0000121964"
"37","FR0000121972"
"38","FR0000124711"
"39","FR0000125007"
"40","FR0000125338"
"41","FR0000125585"
"42","FR0000130452"
"43","FR0000130650"
"44","FR0000131104"
"45","FR0000131708"
"46","FR0000131906"
"47","FR0010040865"
"48","FR0010411983"
"49","GB0000031285"
"50","GB0000566504"
"51","GB0001411924"
"52","GB0002634946"
"53","GB0006043169"
"54","GB0007980591"
"55","GB0030913577"
"56","GB0032089863"
"57","GB0033195214"
"58","GB00B019KW72"
"59","GB00B03MLX29"
"60","GB00B1WY2338"
"61","GB00B24CGK77"
"62","GB00B4VLR192"
"63","GB00B8C3BL03"
"64","GB00BDSFG982"
"65","GB00BVFD7Q58"
"66","IE0008471009"
"67","IE00B0M63060"
"68","IE00B58JVZ52"
"69","IE00B6YX5C33"
"70","IE00B8KQN827"
"71","IE00BM67HL84"
"72","IE00BM67HR47"
"73","LU0274221281"
"74","LU0292103222"
"75","LU0292103651"
"76","LU0328475792"
"77","LU0540980140"
"78","NL0000009538"
"79","NL0000235190"
"80","NL0009434992"
"81","NL0010273215"
"82","NL0010672325"
"83","NL0011794037"
"84","SE0000103699"
"85","SE0006886750"
"86","SXOIN1703"
"87","SXOIN1706"
"88","SXOIN1709"
"89","SXOIN1712"
"90","SXOIN1803"
"91","US00206R1023"
"92","US00287Y1091"
"93","US0378331005"
"94","US0382221051"
"95","US07177M1036"
"96","US0718131099"
"97","US0970231058"
"98","US12673P1057"
"99","US1491231015"
"100","US1667641005"
"101","US17275R1023"
"102","US1729674242"
"103","US1897541041"
"104","US20825C1045"
"105","US2193501051"
"106","US2371941053"
"107","US2441991054"
"108","US2605431038"
"109","US26078J1007"
"110","US2910111044"
"111","US30231G1022"
"112","US3696041033"
"113","US3703341046"
"114","US37045V1008"
"115","US3755581036"
"116","US38141G1040"
"117","US4385161066"
"118","US4581401001"
"119","US46625H1005"
"120","US4781601046"
"121","US4824801009"
"122","US4878361082"
"123","US5128071082"
"124","US5324571083"
"125","US5398301094"
"126","US58933Y1055"
"127","US5949181045"
"128","US60871R2094"
"129","US6174464486"
"130","US6668071029"
"131","US6745991058"
"132","US6806652052"
"133","US6937181088"
"134","US7170811035"
"135","US7427181091"
"136","US7475251036"
"137","US7551115071"
"138","US85771P1021"
"139","US912796LP28"
"140","US912796LY35"
"141","US9130171096"
"142","US9841216081"
"143","VGG607541015"
